,time,precip
617,2013-09-10,3.9522064
618,2013-09-11,10.0196
619,2013-09-12,8.364455
620,2013-09-13,4.4940352
621,2013-09-14,3.1240253
622,2013-09-15,0.81833434
623,2013-09-16,0.9554369
624,2013-09-17,3.14237
625,2013-09-18,7.0719547
626,2013-09-19,2.3075905
627,2013-09-20,2.7183166
628,2013-09-21,15.031604
629,2013-09-22,2.2913644
630,2013-09-23,0.21946895
631,2013-09-24,3.1265752
632,2013-09-25,2.781361
633,2013-09-26,2.696298
634,2013-09-27,2.422416
635,2013-09-28,7.1104503
636,2013-09-29,3.313394
637,2013-09-30,4.7057753
638,2013-10-01,5.495894
639,2013-10-02,7.2874193
640,2013-10-03,4.551612
641,2013-10-04,1.0481495
642,2013-10-05,0.6994558
643,2013-10-06,0.74339426
644,2013-10-07,4.633064
645,2013-10-08,3.2871156
646,2013-10-09,12.300693
647,2013-10-10,8.040655
648,2013-10-11,3.4731698
649,2013-10-12,4.0300584
650,2013-10-13,3.7654703
651,2013-10-14,7.9784226
652,2013-10-15,5.823827
653,2013-10-16,5.0107937
654,2013-10-17,1.2667907
655,2013-10-18,5.045013
656,2013-10-19,5.225798
657,2013-10-20,3.8923743
658,2013-10-21,0.74582446
659,2013-10-22,0.9286357
660,2013-10-23,3.1255252
661,2013-10-24,1.2299076
662,2013-10-25,2.397715
663,2013-10-26,3.6910355
664,2013-10-27,6.07411
665,2013-10-28,9.601641
666,2013-10-29,10.475603
667,2013-10-30,3.4067533
668,2013-10-31,8.203266
669,2013-11-01,9.380764
670,2013-11-02,2.8548598
671,2013-11-03,5.1296806
672,2013-11-04,19.30546
673,2013-11-05,8.693768
674,2013-11-06,4.277752
675,2013-11-07,10.46859
676,2013-11-08,12.258407
677,2013-11-09,10.623238
678,2013-11-10,8.660131
679,2013-11-11,7.69989
680,2013-11-12,10.3800535
681,2013-11-13,7.405409
682,2013-11-14,6.712775
683,2013-11-15,8.661938
684,2013-11-16,9.797185
685,2013-11-17,8.90432
686,2013-11-18,11.244861
687,2013-11-19,16.363047
688,2013-11-20,12.961819
689,2013-11-21,3.0149896
690,2013-11-22,10.609834
691,2013-11-23,3.2301056
692,2013-11-24,4.0624423
693,2013-11-25,8.478573
694,2013-11-26,10.412229
695,2013-11-27,9.619972
696,2013-11-28,3.54667
697,2013-11-29,8.967408
698,2013-11-30,4.2536297
699,2013-12-01,11.912083
700,2013-12-02,4.820248
701,2013-12-03,4.703028
702,2013-12-04,2.2506835
703,2013-12-05,2.6743765
704,2013-12-06,2.3723876
705,2013-12-07,2.5182278
706,2013-12-08,2.078942
707,2013-12-09,0.3303274
708,2013-12-10,0.6512683
709,2013-12-11,6.5716662
710,2013-12-12,7.2209034
711,2013-12-13,2.5172167
712,2013-12-14,2.442895
713,2013-12-15,3.0604873
